"PRIMA AFP S.A.","Credicorp LTD.","[2010-03-18 / 2013-03-21]","[2011/1 - 2013/3]","BAYLY LLONA WALTER","PRESIDENTE DEL DIRECTORIO","GERENTE GENERAL","2011 Enero","2015 Julio"
"PRIMA AFP S.A.","Credicorp LTD.","[2013-10-01 / 2013-10-09]","[2013/10 - 2013/10]","CORREA MALACHOWSKI ALVARO",DIRECTOR,"GERENTE DE SEGUROS","2011 Enero","2015 Julio"
"PRIMA AFP S.A.","Credicorp LTD.","[2008-03-28 / 2013-09-30]","[2011/1 - 2013/9]","CORREA MALACHOWSKI ALVARO",DIRECTOR,"GTE. FINANZAS Y CONTABILIDAD","2011 Enero","2015 Julio"
"PRIMA AFP S.A.","Credicorp LTD.","[2013-10-01 / 2017-11-29]","[2013/10 - 2015/7]","DASSO MONTERO FERNANDO",DIRECTOR,"GERENTE DE FINANZAS","2011 Enero","2015 Julio"
"PRIMA AFP S.A.","Credicorp LTD.","[2013-10-01 / 2017-11-29]","[2016/8 - 2017/1]","DASSO MONTERO FERNANDO",DIRECTOR,"GERENTE DE FINANZAS","2016 Agosto","2017 Enero"
"PRIMA AFP S.A.","Credicorp LTD.","[2016-06-24 / 2017-11-29]","[2016/8 - 2017/1]","DASSO MONTERO FERNANDO",DIRECTOR,,"2016 Agosto","2017 Enero"
"PRIMA AFP S.A.","Credicorp LTD.","[2010-03-18 / 2013-03-21]","[2010/6 - 2010/6]","BAYLY LLONA WALTER","PRESIDENTE DEL DIRECTORIO","GERENTE GENERAL","2010 Junio","2010 Junio"
"PRIMA AFP S.A.","Credicorp LTD.","[2008-03-28 / 2013-09-30]","[2010/6 - 2010/6]","CORREA MALACHOWSKI ALVARO",DIRECTOR,"GTE. FINANZAS Y CONTABILIDAD","2010 Junio","2010 Junio"
"PRIMA AFP S.A.","Credicorp LTD.","[2013-10-01 / 2017-11-29]","[2015/9 - 2015/10]","DASSO MONTERO FERNANDO",DIRECTOR,"GERENTE DE FINANZAS","2015 Setiembre","2015 Octubre"
"PROFUTURO AFP","Crediscotia Financiera","[2008-09-12 / 2010-03-30]","[2008/10 - 2009/6]","CALDA GIURATO RAFAEL MARIO",DIRECTOR,"DIRECTOR ALTERNO","2008 Octubre","2009 Junio"
"PROFUTURO AFP","Crediscotia Financiera","[2009-03-31 / 2011-03-31]","[2009/3 - 2009/6]","COATE - MICHAEL","DIRECTOR ALTERNO",DIRECTOR,"2008 Octubre","2009 Junio"
"PROFUTURO AFP","Crediscotia Financiera","[2008-07-15 / 2010-03-19]","[2008/10 - 2009/6]","DE LA FELD  HUBERT",DIRECTOR,DIRECTOR,"2008 Octubre","2009 Junio"
"PROFUTURO AFP","Crediscotia Financiera","[2009-03-31 / 2010-03-19]","[2009/3 - 2009/6]","GONZALEZ TABOADA CARLOS","VICEPRESIDENTE DEL DIRECTORIO",DIRECTOR,"2008 Octubre","2009 Junio"
"PROFUTURO AFP","Crediscotia Financiera","[2008-07-15 / 2009-03-31]","[2008/10 - 2009/3]","GONZALEZ TABOADA CARLOS","VICEPRESIDENTE DEL DIRECTORIO","PRESIDENTE DEL DIRECTORIO","2008 Octubre","2009 Junio"
"PROFUTURO AFP","Crediscotia Financiera","[2008-07-15 / 2009-03-27]","[2008/10 - 2009/3]","PARRA ERKEL LUIS","DIRECTOR ALTERNO",DIRECTOR,"2008 Octubre","2009 Junio"
"PROFUTURO AFP","Crediscotia Financiera","[2008-09-12 / 2011-03-31]","[2008/10 - 2009/6]","RIVADENEIRA GASTAÑETA FRANCISCO GUILLERMO","DIRECTOR ALTERNO","DIRECTOR ALTERNO","2008 Octubre","2009 Junio"
"PROFUTURO AFP","Crediscotia Financiera","[2017-01-31 / 2017-11-29]","[2017/1 - 2017/2]","ARAMBURU ARIAS IGNACIO",DIRECTOR,DIRECTOR,"2011 Enero","2017 Febrero"
"PROFUTURO AFP","Crediscotia Financiera","[2010-03-30 / 2012-08-06]","[2011/1 - 2012/8]","CALDA GIURATO RAFAEL MARIO",DIRECTOR,DIRECTOR,"2011 Enero","2017 Febrero"
"PROFUTURO AFP","Crediscotia Financiera","[2010-03-19 / 2015-07-06]","[2011/1 - 2015/7]","CALDERON HERRADA CESAR ERNESTO",DIRECTOR,DIRECTOR,"2011 Enero","2017 Febrero"
